"row","gap","time","evaluations","avg.eval"
"355","32",167.574387,270336,1613.22983088102
"356","32",100.264866,163840,1634.07189912367
"357","32",132.413124,212992,1608.54146149441
"358","32",116.790126,188416,1613.2870684633
"359","32",84.174293,139264,1654.47187064583
"360","32",115.071199,188416,1637.38625857196
"361","32",83.506547,131072,1569.60148286337
"362","32",128.346592,204800,1595.67929937711
"363","32",69.261113,114688,1655.87867466121
"364","32",97.063327,155648,1603.57165585309
"365","32",70.699038,114688,1622.20029075926
"366","32",120.618429,196608,1629.99967442786
"367","32",78.364984,131072,1672.5837652184
"368","32",52.693296,90112,1710.12266911525
"369","32",88.531682,147456,1665.57323512728
"370","32",79.639092,131072,1645.8248921271
"371","32",89.301826,147456,1651.20923731168
"372","32",65.912187,114688,1740.01205573713
"373","32",88.415775,139264,1575.10353780194
"374","32",102.413647,163840,1599.78679403927
"375","32",95.702269,147456,1540.77851592004
"376","32",193.520006,294912,1523.93546329262
"377","32",72.313079,114688,1585.99248691928
"378","32",161.624015,245760,1520.56611141605
"379","32",89.886197,139264,1549.33687983262
"380","32",177.11167,270336,1526.35904793851
"381","32",75.537654,114688,1518.28914358394
"382","32",120.979973,188416,1557.41479624896
"383","32",66.393757,106496,1604.00623209197
"384","32",173.269973,270336,1560.20108573573
"385","32",114.597799,180224,1572.66545756258
"386","32",148.25271,229376,1547.1960006667
"387","32",48.354852,73728,1524.72806658575
"388","32",102.089541,163840,1604.86567375203
"389","32",71.696774,114688,1599.62566795544
"390","32",68.408989,106496,1556.75447856714
"391","32",130.7481,204800,1566.3707541448
"392","32",75.402427,122880,1629.65576691583
"393","32",80.148383,122880,1533.1563208206
"394","32",140.262425,212992,1518.52500767757
"395","32",75.821108,122880,1620.65687565526
"396","32",77.049985,122880,1594.80887634177
"397","32",126.916362,204800,1613.66112905127
"398","32",65.785932,106496,1618.82634725005
"399","32",85.407746,131072,1534.66173899496
"400","32",153.246651,237568,1550.23289872742
"401","32",72.992663,114688,1571.22641216693
"402","64",134.428445,229376,1706.30553674857
"403","64",101.998631,180224,1766.92567569853
"404","64",112.465867,196608,1748.15706528986
"405","64",91.799797,147456,1606.27806181314
"406","64",109.04767,196608,1802.95461608671
"407","64",164.863021,262144,1590.07155400846
"408","64",95.214904,180224,1892.81291508733
"409","64",109.482618,196608,1795.79191283131
"410","64",126.103141,212992,1689.03009323138
"411","64",100.638789,163840,1628.00051181061
"412","64",82.845238,131072,1582.13076773345
"413","64",100.005568,163840,1638.30877896719
"414","64",67.061385,114688,1710.19432420013
"415","64",106.644963,196608,1843.57511568549
"416","64",119.552167,196608,1644.53731733696
"417","64",45.598138,81920,1796.56458779084
"418","64",103.029345,163840,1590.22655147424
"419","64",72.085171,114688,1591.00683828578
"420","64",133.80536,212992,1591.80469302575
"421","64",116.597515,196608,1686.21089394572
"422","64",70.394806,114688,1629.21110969466
"423","64",127.307174,212992,1673.05575410856
"424","64",127.095108,212992,1675.84735047395
"425","64",73.882573,114688,1552.30110895028
"426","64",125.668992,212992,1694.86518997463
"427","64",159.644413,262144,1642.04932119986
"428","64",50.051076,81920,1636.72804956281
"429","64",124.449168,212992,1711.47789433193
"430","64",132.989943,212992,1601.56471380697
"431","64",153.353762,245760,1602.56909771799
"432","64",100.09815,163840,1636.79348719232
"433","64",109.482706,180224,1646.14126362569
"434","64",66.536179,114688,1723.69381175315
"435","64",194.436291,311296,1601.01799102926
"436","64",71.961821,131072,1821.41027253882
"437","64",94.310324,163840,1737.24352807864
"438","64",66.573522,114688,1722.72694240212
"439","64",81.886145,147456,1800.74419182879
"440","64",147.509704,245760,1666.05988172819
"441","64",139.565092,229376,1643.50552643923
"442","64",69.206697,114688,1657.18066273268
"443","64",65.719906,114688,1745.10292208878
"444","64",88.973038,147456,1657.31106090814
"445","64",112.146327,180224,1607.04326945991
"446","64",223.364943,360448,1613.71786977332
"447","64",79.793814,131072,1642.63360064478
"448","64",52.140656,81920,1571.13481656234
"449","64",147.780364,229376,1552.1412574136
"450","64",64.764081,114688,1770.85813971482
"451","64",99.970763,163840,1638.87915909975
